ruian_id,hp,rfs_date,rfs_mth_year,adresa,timestamp,naz_ulice,cis_dom,cis_or,pis_or,cis_pis_or,psc,naz_obec,naz_cast,naz_okres,naz_vusc,x_jtsk,y_jtsk,longitude,latitude,fbb_penetration_procenta,fbb_penetration_desetinne_cislo,fbb_customers,technologie,svj,neuspokojena_poptavka,potencialni_skore,sjv_flag,distance_to_praha,distance_to_liberec,distance_to_brno,distance_to_ostrava,cluster
12570788,64,01.07.2023,7_2023,"Beskydská 683, Třinec",01.06.2025,Beskydská,683,,,,73961,Třinec,Lyžbice,Frýdek-Místek,Moravskoslezský kraj,"-444080,32","-1122671,1",18.67362657,49.66619832,"0,1406",0.1406,9,G-PON,Bytové družstvo Beskydská 683,55,859.0,1,307.844448002026,285.8189527861271,158.81035923821358,34.26583127197468,0
12571873,54,01.07.2023,7_2023,"Dukelská 792, Třinec",01.06.2025,Dukelská,792,,,,73961,Třinec,Lyžbice,Frýdek-Místek,Moravskoslezský kraj,"-443510,78","-1123096,06",18.68196283,49.66280109,"0,0556",0.0556,3,G-PON,,51,944.0,0,308.503424567022,286.52642370246525,159.26239566830023,34.976086099113104,0
12572586,101,01.07.2023,7_2023,"Kopernikova 863, Třinec",01.06.2025,Kopernikova,863,,,,73961,Třinec,Lyžbice,Frýdek-Místek,Moravskoslezský kraj,"-444116,08","-1122480,27",18.67292038,49.66788267,"0,0198",0.0198,2,G-PON,,99,980.0,0,307.7613984062894,285.689200354769,158.82149537012876,34.12757271484593,0
18836887,86,01.07.2023,7_2023,"Okružní 716, Bohumín",01.06.2025,Okružní,716,,,,73581,Bohumín,Nový Bohumín,Karviná,Moravskoslezský kraj,"-465177,74","-1094648,22",18.34958951,49.90163794,"0,2326",0.2326,20,G-PON,,66,767.0,0,281.15850820903484,253.55795844203274,148.58949406474542,10.947836370590716,2
18839207,50,01.07.2023,7_2023,"Nerudova 975, Bohumín",01.06.2025,Nerudova,975,,,,73581,Bohumín,Nový Bohumín,Karviná,Moravskoslezský kraj,"-464744,63","-1093987,4",18.35481891,49.90788674,"0,24",0.24,12,G-PON,,38,760.0,0,281.46750069321234,253.6257985798859,149.27181842072207,11.733115324438101,2
18840051,66,01.07.2023,7_2023,"Okružní 1068, Bohumín",01.06.2025,Okružní,1068,,,,73581,Bohumín,Nový Bohumín,Karviná,Moravskoslezský kraj,"-465255,96","-1094617,91",18.348469,49.90184997,"0,1515",0.1515,10,G-PON,,56,848.0,0,281.0761360447865,253.47474144797613,148.53293394547086,10.921381290097939,2
18840078,71,01.07.2023,7_2023,"Alešova 1070, Bohumín",01.06.2025,Alešova,1070,,,,73581,Bohumín,Nový Bohumín,Karviná,Moravskoslezský kraj,"-464716,62","-1094679,78",18.35602188,49.90170571,"0,0986",0.0986,7,G-PON,,64,901.0,0,281.6178279583805,253.97862839188193,148.98861861841849,11.224822623065085,2
18840094,72,01.07.2023,7_2023,"Čs. armády 1072, Bohumín",01.06.2025,Čs. armády,1072,,,,73581,Bohumín,Nový Bohumín,Karviná,Moravskoslezský kraj,"-464847,37","-1094695,71",18.35422726,49.90146367,"0,1111",0.1111,8,G-PON,,64,889.0,0,281.4920304816464,253.87115648145092,148.86437254067144,11.126316997743723,2
18840108,72,01.07.2023,7_2023,"Štefánikova 1073, Bohumín",01.06.2025,Štefánikova,1073,,,,73581,Bohumín,Nový Bohumín,Karviná,Moravskoslezský kraj,"-464830,88","-1094731,91",18.35449854,49.90115192,"0,1389",0.1389,10,G-PON,,62,861.0,0,281.51472214773656,253.90286970931862,148.8630965435985,11.110024940845886,2
18840868,60,01.07.2023,7_2023,"Jateční 1153, Bohumín",01.06.2025,Jateční,1153,,,,73581,Bohumín,Nový Bohumín,Karviná,Moravskoslezský kraj,"-465221,91","-1094272,35",18.34853433,49.90497136,0,0.0,0,G-PON,,60,1000.0,0,281.04812962040035,253.34050842555112,148.71753050735592,11.21180866511174,2
18840876,60,01.07.2023,7_2023,"Jateční 1154, Bohumín",01.06.2025,Jateční,1154,,,,73581,Bohumín,Nový Bohumín,Karviná,Moravskoslezský kraj,"-465168,72","-1094294,07",18.34929764,49.90481725,"0,1333",0.1333,8,G-PON,,52,867.0,0,281.1043265565354,253.39763155635333,148.75541052618135,11.227933140390226,2
